site,taxa,density_m2
Murray,Ceratopogonidae,16.7
Murray,Coloburiscus,150.0
Murray,Copepoda,5.6
Murray,Cristaperla,122.2
Murray,Deleatidium,483.3
Murray,Elmidae,44.4
Murray,Empididae,5.6
Murray,Hydraenidae,38.9
Murray,Hydrobiosella,11.1
Murray,Hydrobiosis,33.3
Murray,Hydrochorema,11.1
Murray,Nesameletus,5.6
Murray,Oligochaeta,183.3
Murray,Olinga,5.6
Murray,Onychohydrus,5.6
Murray,Orthocladiinae,255.6
Murray,Ostracoda,5.6
Murray,Potamopyrgus,5.6
Murray,Pycnocentria,5.6
Murray,Stenoperla,16.7
Murray,Tanypodinae,22.2
Murray,Zelandobius,22.2
Onehor,Acari,150.0
Onehor,Ameletopsis,27.8
Onehor,Archichauliodes,222.2
Onehor,Austroperla,94.4
Onehor,Austrosimulium,5.6
Onehor,Ceratopogonidae,150.0
Onehor,Chironominae,33.3
Onehor,Coloburiscus,1111.1
Onehor,Costachorema,88.9
Onehor,Deleatidium,2461.1
Onehor,Diamesinae,44.4
Onehor,Elmidae,261.1
Onehor,Empididae,61.1
Onehor,Helicopsyche,88.9
Onehor,Hydraenidae,66.7
Onehor,Hydrophilidae,5.6
Onehor,Nesameletus,5.6
Onehor,Oligochaeta,650.0
Onehor,Orthocladiinae,3377.8
Onehor,Platyhelminthes,11.1
Onehor,Potamopyrgus,538.9
Onehor,Psilochorema,5.6
Onehor,Stenoperla,5.6
Onehor,Tanypodinae,105.6
Onehor,Taraperla,11.1
Onehor,Zelandobius,383.3
Onehor,Zelolessica,111.1
Onehor,Zephlebia,50.0
Packtr,Acari,50.0
Packtr,Diamesinae,5.6
Packtr,Empididae,11.1
Packtr,Orthocladiinae,2933.3
Packtr,Ostracoda,11.1
Portal,Acari,11.1
Portal,Orthocladiinae,3333.3
Sullea,Acari,11.1
Sullea,Ameletopsis,5.6
Sullea,Aoteapsyche,16.7
Sullea,Aphrophila,5.6
Sullea,Austrosimulium,5.6
Sullea,Ceratopogonidae,11.1
Sullea,Chironominae,11.1
Sullea,Deleatidium,583.3
Sullea,Diamesinae,44.4
Sullea,Elmidae,5.6
Sullea,Hydraenidae,5.6
Sullea,Hydrobiosis,16.7
Sullea,Oligochaeta,105.6
Sullea,Orthocladiinae,588.9
Sullea,Oxyethira,5.6
Sullea,Psilochorema,5.6
Sullea,Zelandobius,127.8
SullWS,Aoteapsyche,11.1
SullWS,Austroclima,11.1
SullWS,Austrosimulium,5.6
SullWS,Diamesinae,377.8
SullWS,Hydraenidae,11.1
SullWS,Orthocladiinae,94.4
SullWS,Oxyethira,5.6
SullWS,Pycnocentria,5.6
SullWS,Zelandobius,11.1
SullWS,Zelolessica,5.6
Warne,Acari,44.4
Warne,Aoteapsyche,33.3
Warne,Austrosimulium,16.7
Warne,Ceratopogonidae,5.6
Warne,Coloburiscus,16.7
Warne,Deleatidium,122.2
Warne,Empididae,11.1
Warne,Hydraenidae,11.1
Warne,Hydrobiosis,33.3
Warne,Orthocladiinae,244.4
Warne,Oxyethira,188.9
Warne,Potamopyrgus,11.1
Warne,Pycnocentria,5.6
Warne,Spaniocercoides,94.4
Warne,Stenoperla,5.6
Warne,Tanypodinae,5.6
Warne,Zelandobius,38.9
Warne,Zephlebia,5.6
Stream Y,Acari,5.6
Stream Y,Chironominae,5.6
Stream Y,Diamesinae,5.6
Stream Y,Diptera,16.7
Stream Y,Empididae,272.2
Stream Y,Oligochaeta,5.6
Stream Y,Orthocladiinae,166.7
Stream Y,Scirtidae,11.1
