Genus,Label,Type,Value,Unit,file,site,surber,date,ln_a,b,base,logdw,dw
Acari,Acari,Distance,0.57,mm,Burnet_s1d_02-02-16.csv,Burnet,s1,02-02-16,-5,2.5,2.718281828,-6.405297296,1.65E-06
Acari,Acari,Distance,0.55,mm,Burnet_s3k_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.494592502,1.51E-06
Acari,Acari,Distance,0.69,mm,Burtrb_s1e_02-02-16.csv,Burtrb,s1,02-02-16,-5,2.5,2.718281828,-5.927659204,2.66E-06
Acari,Acari,Distance,0.98,mm,BV03--_s3a_12-12-15.csv,BV03,s3,12-12-15,-5,2.5,2.718281828,-5.050506768,6.41E-06
Acari,Acari,Distance,0.48,mm,BV03--_s1a_12-12-15.csv,BV03,s1,12-12-15,-5,2.5,2.718281828,-6.834922938,1.08E-06
Acari,Acari,Distance,0.63,mm,BV03--_s2a_12-12-15.csv,BV03,s2,12-12-15,-5,2.5,2.718281828,-6.155088649,2.12E-06
Acari,Acari,Distance,0.47,mm,cbdale_s1a_02-02-16.csv,cbdale,s1,02-02-16,-5,2.5,2.718281828,-6.887556461,1.02E-06
Acari,Acari,Distance,0.56,mm,cbdale_s1a_02-02-16.csv,cbdale,s1,02-02-16,-5,2.5,2.718281828,-6.449546238,1.58E-06
Acari,Acari,Distance,0.67,mm,cbdale_s2a_02-02-16.csv,cbdale,s2,02-02-16,-5,2.5,2.718281828,-6.001193917,2.48E-06
Acari,Acari,Distance,0.46,mm,cbdale_s1a_02-02-16.csv,cbdale,s1,02-02-16,-5,2.5,2.718281828,-6.941321974,9.67E-07
Acari,Acari,Distance,0.84,mm,cbdale_s2a_02-02-16.csv,cbdale,s2,02-02-16,-5,2.5,2.718281828,-5.435883468,4.36E-06
Acari,Acari,Distance,0.64,mm,cbdale_s1a_02-02-16.csv,cbdale,s1,02-02-16,-5,2.5,2.718281828,-6.115717757,2.21E-06
Acari,Acari,Distance,0.68,mm,cbdale_s2a_02-02-16.csv,cbdale,s2,02-02-16,-5,2.5,2.718281828,-5.964156202,2.57E-06
Acari,Acari,Distance,0.44,mm,Charm-_s1g_29-01-16.csv,Charm,s1,29-01-16,-5,2.5,2.718281828,-7.052451381,8.65E-07
Acari,Acari,Distance,0.61,mm,Charm-_s1g_29-01-16.csv,Charm,s1,29-01-16,-5,2.5,2.718281828,-6.235740805,1.96E-06
Acari,Acari,Distance,0.49,mm,Charm-_s1g_29-01-16.csv,Charm,s1,29-01-16,-5,2.5,2.718281828,-6.78337472,1.13E-06
Acari,Acari,Distance,0.38,mm,Charm-_s1g_29-01-16.csv,Charm,s1,29-01-16,-5,2.5,2.718281828,-7.418960066,6.00E-07
Acari,Acari,Distance,0.55,mm,Charm-_s3m_29-01-16.csv,Charm,s3,29-01-16,-5,2.5,2.718281828,-6.494592502,1.51E-06
Acari,Acari,Distance,0.41,mm,Charm-_s3m_29-01-16.csv,Charm,s3,29-01-16,-5,2.5,2.718281828,-7.228995299,7.25E-07
Acari,Acari,Distance,0.44,mm,Charm-_s1g_29-01-16.csv,Charm,s1,29-01-16,-5,2.5,2.718281828,-7.052451381,8.65E-07
Acari,Acari,Distance,0.49,mm,Charm-_s3m_29-01-16.csv,Charm,s3,29-01-16,-5,2.5,2.718281828,-6.78337472,1.13E-06
Acari,Acari,Distance,0.65,mm,Charm-_s3m_29-01-16.csv,Charm,s3,29-01-16,-5,2.5,2.718281828,-6.07695729,2.30E-06
Acari,Acari,Distance,0.45,mm,Charm-_s3m_29-01-16.csv,Charm,s3,29-01-16,-5,2.5,2.718281828,-6.996269241,9.15E-07
Acari,Acari,Distance,0.45,mm,Chasm-_s1f_03-02-16.csv,Chasm,s1,03-02-16,-5,2.5,2.718281828,-6.996269241,9.15E-07
Acari,Acari,Distance,0.59,mm,Chasm-_s1f_03-02-16.csv,Chasm,s1,03-02-16,-5,2.5,2.718281828,-6.319081855,1.80E-06
Acari,Acari,Distance,0.48,mm,Chasm-_s1f_03-02-16.csv,Chasm,s1,03-02-16,-5,2.5,2.718281828,-6.834922938,1.08E-06
